Title,Prices
 Rice,DMart 109.00
 Poha,DMart 157.00
 Kurmura,DMart 130.00
 Grocery ,DMart 162.00
 Chana Dal,DMart 85.00
 Moong Dal,DMart 75.00
 Tur Dal,DMart 80.00
 Urad Dal,DMart 102.00
 Masoor Dal,DMart 78.00
 Daliya,DMart 39.00
 Mix Dal,DMart 52.00
 Rajma,DMart 56.00
 Chowli,DMart 44.00
 Soya Products,DMart 88.00
 Kabuli Chana,DMart 49.00
 Chana,DMart 133.00
 Urad,DMart 66.00
 Moong,DMart 51.00
 Masoor,DMart 68.00
 Vatana,DMart 167.00
 Other Whole Pulses,DMart 77.00
 Kulith,DMart 67.00
 Groundnut,DMart 75.00
 Almonds,DMart 55.00
 Cashews,DMart 51.00
 Pista,DMart 43.00
 Dates,DMart 62.00
 Raisins,DMart 88.00
 Walnuts,DMart 58.00
 Apricot,DMart 26.00
 Mixed Dryfruits,DMart 51.00
 Charoli,DMart 66.00
 Makhana,DMart 52.00
 Anjeer,DMart 32.00
 Sunflower Oil,DMart 71.00
 Blended Oil,DMart 223.00
 Rice Bran Oil,DMart 10.00
 Groundnut Oil,DMart 64.00
 Olive Oil,DMart 91.00
 Mustard Oil,DMart 64.00
 Other Oils,DMart 109.01
 All in Ghee & Vanaspati,DMart 157.01
 Ghee,DMart 130.01
 Vanaspati,DMart 162.01
 All in Flours & Grains,DMart 85.01
 Atta,DMart 75.01
 Grains,DMart 80.01
 Other Flours,DMart 102.01
 All in Rice & Rice Products,DMart 78.01
 Basmati Rice,DMart 39.01
 Kolam Rice,DMart 52.01
 Brown Rice,DMart 56.01
 Poha,DMart 44.01
 Kurmura,DMart 88.01
 Other Rice,DMart 49.01
 All in Masala & Spices,DMart 133.01
 Powdered Spices,DMart 66.01
 Whole Spices,DMart 51.01
 Cooking Pastes,DMart 68.01
 Herbs & Seasonings,DMart 167.01
 Ready Mix Masalas,DMart 77.01
 Salt,DMart 67.01
 Sugar,DMart 75.01
 Jaggery,DMart 55.01
 Tea,DMart 51.01
 Tea Bags,DMart 43.01
 Green Tea,DMart 62.01
 Coffee,DMart 88.01
 Health Drinks,DMart 58.01
 Soft Drinks,DMart 26.01
 Juices,DMart 51.01
 Energy Drinks,DMart 66.01
 Squash & Syrups,DMart 52.01
 Concentrates,DMart 32.01
 Soda & Water,DMart 71.01
 Butter,DMart 223.01
 Milk,DMart 10.01
 Cheese,DMart 64.01
 Dairy Products,DMart 91.01
 Dahi,DMart 64.01
 Shrikhand,DMart 109.02
"Biscuits & CookiesÂ (72)
",DMart 157.02
 All in Biscuits & Cookies,DMart 130.02
 Cookies,DMart 162.02
 Glucose Biscuits,DMart 85.02
 Marie Biscuits,DMart 75.02
 Salty Biscuits,DMart 80.02
 Cream Biscuits,DMart 102.02
 Digestive Biscuits,DMart 78.02
 Khari & Toasts,DMart 39.02
 Wafer Biscuits,DMart 52.02
 Health Biscuits,DMart 56.02
 Sev & Mixtures,DMart 44.02
 Chips & Wafers,DMart 88.02
 Namkeens,DMart 49.02
 Other Snacks,DMart 133.02
 Popcorn,DMart 66.02
 ,DMart 51.02
"Breakfast CerealsÂ (32)
",DMart 68.02
 All in Breakfast Cereals,DMart 167.02
 Flakes,DMart 77.02
 Oats,DMart 67.02
 Muesli,DMart 75.02
ChocolatesÂ (31),DMart 55.02
 All in Ketchup & Sauce,DMart 51.02
 Ketchup,DMart 43.02
 Sauce,DMart 62.02
 Chutney,DMart 88.02
 Vinegar,DMart 58.02
 All in Jams & Spreads,DMart 26.02
 Jams,DMart 51.02
 Spreads,DMart 66.02
 Honey,DMart 52.02
 Mayonnaise,DMart 32.02
 Dips & Dressings,DMart 71.02
 All in Pasta & Noodles,DMart 223.02
 Instant Noodles,DMart 10.02
 Hakka Noodles,DMart 64.02
 Pasta,DMart 91.02
 Vermicelli,DMart 64.02
"Ready To CookÂ (64)
",DMart 109.03
 All in Ready To Cook,DMart 157.03
 Papad,DMart 130.03
 Ready Mix,DMart 162.03
 Popcorn,DMart 85.03
"PicklesÂ (11)
",DMart 75.03
 All in Pickles,DMart 80.03
 Mango Pickles,DMart 102.03
 Mixed Pickles,DMart 78.03
 Chilli Pickles,DMart 39.03
 Other Pickles,DMart 52.03
Health FoodÂ (31),DMart 56.03
 Fruits & Vegetables ,DMart 44.03
Fresh FruitsÂ (3),DMart 88.03
VegetablesÂ (15),DMart 133.03
 Home & Kitchen ,DMart 66.03
"Detergent & Fabric CareÂ (44)
",DMart 51.03
